Estado;V;P;logV;logP
Amazonas;333;527;2.52;2.72
Pará;2655;2035;3.42;3.31
Maranhão;71;271;1.85;2.43
Piauí;882;1290;2.95;3.11
Ceará;8874;13776;3.95;4.14
Rio Grande do Norte;5989;9816;3.78;3.99
Paraíba;1469;2499;3.17;3.40
Pernambuco;9134;12720;3.96;4.10
Alagoas;924;1031;2.97;3.01
Sergipe;951;961;2.98;2.98
Bahia;2234;4154;3.35;3.62
Minas Gerais;17089;30002;4.23;4.48
Espírito Santo;2653;4402;3.42;3.64
Rio de Janeiro;39503;49256;4.60;4.69
São Paulo;172229;195756;5.24;5.29
Paraná;4364;7619;3.64;3.88
Santa Catarina;34335;28949;4.54;4.46
Rio Grande do Sul;64851;91813;4.81;4.96
Mato Grosso do Sul;59;222;1.77;2.35
Mato Grosso;32;83;1.51;1.92
Goiás;1196;2415;3.08;3.38
Distrito Federal;99;239;2.00;2.38